bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_AEP,R4_PEP
Bear15,2,431.2343736299322,39.115789650728004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,348.0,0.64,0.46,1.1,0.41818181818181815,86.44803352303627,24.529013433075534,121.22842784610144,"(1128, 1239)","(1065, 1095)",287.0,324.0,0.74,0.52,1.26,0.4126984126984127,114.04114389114132,11.667261889578034,124.75789554172516,"(1008, 1242)","(900, 1065)"
Bear8,1,286.1786941755098,47.62186997588398,,12.0,,,,,,,,"(750, 768)",,38.0,51.0,0.26,0.5,0.76,0.6578947368421053,34.689263468687265,11.667261889578034,22.198479677671624,"(852, 858)","(795, 885)",34.0,50.0,0.32,1.1,1.42,0.7746478873239437,57.39533953205609,14.94138547792674,86.19572205161926,"(738, 774)","(639, 807)",,9.0,,,,,,,,"(693, 927)",,19.0,34.0,0.3,0.98,1.28,0.765625,56.48690113645818,23.624404754405983,87.7142234760133,"(591, 819)","(489, 831)",18.0,28.0,0.2,1.08,1.28,0.84375,67.6701189595526,22.442426339413487,81.92046447622229,"(627, 963)","(504, 966)",5.0,22.0,0.34,0.62,0.96,0.6458333333333334,38.09320805603014,14.85,59.422912247718045,"(393, 870)","(324, 864)",30.0,58.0,0.56,0.38,0.94,0.4042553191489362,52.8,5.949159604515582,51.574048706689695,"(480, 942)","(384, 942)"
Bear8,1,286.1786941755098,47.62186997588398,51.0,66.0,0.3,1.06,1.36,0.7794117647058824,70.96918345310169,16.826764394856188,88.8552193177193,"(894, 780)","(765, 777)",76.0,80.0,0.08,0.52,0.6,0.8666666666666667,15.212248354533264,36.33748065014965,57.773566620038274,"(882, 885)","(855, 879)",105.0,120.0,0.3,0.74,1.04,0.7115384615384615,71.25631550957429,14.85,77.03927569752976,"(894, 759)","(765, 771)",58.0,75.0,0.34,0.9,1.24,0.7258064516129032,57.27663136044229,18.81289451413578,71.42804071231411,"(822, 909)","(720, 930)",83.0,100.0,0.34,0.74,1.08,0.6851851851851851,64.1805461179632,23.33452377915607,82.5659736210989,"(744, 774)","(633, 810)",82.0,100.0,0.36,0.94,1.3,0.7230769230769231,59.49159604515582,16.58229477484947,84.2954625113357,"(768, 915)","(666, 951)",53.0,77.0,0.48,0.56,1.04,0.5384615384615385,44.580545084150785,20.674440742133754,60.51249870894443,"(501, 867)","(420, 870)",77.0,106.0,0.58,0.3,0.88,0.3409090909090909,46.31770719714007,12.56602562467545,70.87321426321796,"(573, 930)","(489, 936)"
Bear8,1,286.1786941755098,47.62186997588398,119.0,139.0,0.4,0.76,1.16,0.6551724137931035,72.07308790387714,10.435516278555651,81.45386731150342,"(1050, 738)","(924, 774)",106.0,118.0,0.24,0.52,0.76,0.6842105263157895,21.450000000000006,10.036558174992065,85.57759636727361,"(987, 882)","(948, 882)",157.0,176.0,0.38,0.78,1.16,0.6724137931034484,62.460727661467416,15.212248354533264,82.20246346673561,"(1032, 735)","(921, 759)",120.0,133.0,0.26,1.0,1.26,0.7936507936507936,54.42499425815311,28.816011174345427,94.0644725706789,"(951, 894)","(855, 918)",137.0,156.0,0.38,0.88,1.26,0.6984126984126984,59.76554191170696,11.55,80.90049443606634,"(894, 768)","(786, 780)",147.0,164.0,0.34,0.76,1.1,0.6909090909090908,67.73043998085352,10.435516278555651,67.97118874935174,"(921, 906)","(798, 912)",105.0,125.0,0.4,0.42,0.82,0.5121951219512195,41.28298681054945,15.653274417833481,53.03152364396105,"(609, 846)","(534, 849)",121.0,154.0,0.66,0.36,1.02,0.3529411764705882,58.59242698506353,10.036558174992065,56.027158592953825,"(699, 903)","(594, 921)"
Bear8,1,286.1786941755098,47.62186997588398,177.0,195.0,0.36,0.74,1.1,0.6727272727272726,72.16746150447581,14.94138547792674,73.27189092687591,"(1197, 720)","(1068, 744)",144.0,177.0,0.66,0.82,1.48,0.5540540540540541,75.70246032989947,23.1,84.21468102415399,"(1134, 831)","(1005, 879)",215.0,230.0,0.3,0.96,1.26,0.7619047619047619,67.00300366401495,12.56602562467545,80.90049443606634,"(1179, 708)","(1059, 729)",183.0,196.0,0.26,0.82,1.08,0.7592592592592592,65.27413346801319,16.334166645409248,74.26833107051753,"(1116, 849)","(1002, 882)",200.0,216.0,0.32,0.74,1.06,0.6981132075471698,69.63312789183034,16.5,77.70781813948969,"(1038, 738)","(915, 768)",202.0,216.0,0.28,0.84,1.12,0.7499999999999999,57.844208871761744,28.483416227692924,76.0612417726663,"(1044, 894)","(939, 900)",146.0,165.0,0.38,0.5,0.88,0.5681818181818182,37.95,19.242141252989487,78.17936108718209,"(705, 837)","(636, 837)",172.0,196.0,0.48,0.4,0.88,0.4545454545454546,46.02287474723846,14.94138547792674,71.02670272510191,"(798, 879)","(717, 900)"
Bear8,1,286.1786941755098,47.62186997588398,232.0,251.0,0.38,0.86,1.24,0.6935483870967741,58.89367538199666,18.81289451413578,81.25307686481787,"(1329, 702)","(1224, 723)",218.0,231.0,0.26,0.54,0.8,0.675,61.13912413504138,8.25,86.62107133948416,"(1287, 825)","(1176, 831)",278.0,290.0,0.24,0.86,1.1,0.7818181818181817,70.96918345310169,14.758048651498616,77.28625362896044,"(1323, 678)","(1200, 717)",237.0,253.0,0.32,0.82,1.14,0.7192982456140351,64.07440986852708,15.212248354533264,86.13252869851203,"(1251, 846)","(1137, 870)",253.0,272.0,0.38,0.88,1.26,0.6984126984126984,66.04123711742535,16.250615372963573,72.03530384471215,"(1179, 729)","(1062, 756)",258.0,272.0,0.28,0.84,1.12,0.7499999999999999,47.62186997588398,23.33452377915607,93.91964650700086,"(1179, 864)","(1095, 885)",190.0,221.0,0.62,0.32,0.94,0.3404255319148937,61.05,8.25,50.480293184568566,"(846, 819)","(735, 819)",216.0,243.0,0.54,0.46,1.0,0.46,56.31795894739084,8.413382197428097,61.60491051856175,"(927, 873)","(825, 882)"
Bear8,1,286.1786941755098,47.62186997588398,294.0,308.0,0.28,0.72,1.0,0.72,63.1542753897153,7.000357133746822,76.0612417726663,"(1464, 642)","(1356, 681)",258.0,286.0,0.56,0.7,1.26,0.5555555555555555,78.80369597931306,11.898319209031165,84.32775343859221,"(1437, 777)","(1302, 825)",333.0,343.0,0.2,0.8,1.0,0.8,62.83012812337725,6.6000000000000005,77.56755120538486,"(1458, 639)","(1347, 666)",294.0,309.0,0.3,0.56,0.86,0.6511627906976745,71.08417545417545,6.6000000000000005,79.83340466245944,"(1398, 792)","(1278, 840)",316.0,332.0,0.32,0.68,1.0,0.68,55.83245024177248,17.771043863543863,85.05105819447516,"(1302, 684)","(1206, 717)",314.0,331.0,0.34,0.78,1.12,0.6964285714285714,71.08417545417545,18.22484567835898,89.31363277798077,"(1341, 810)","(1221, 858)",237.0,262.0,0.5,0.44,0.94,0.4680851063829787,49.527492365352,19.242141252989487,80.36025136844708,"(936, 801)","(846, 804)",266.0,294.0,0.56,0.26,0.82,0.3170731707317073,53.210901138770424,13.302725284692606,54.848541457362394,"(1038, 858)","(942, 870)"
Bear8,1,286.1786941755098,47.62186997588398,344.0,358.0,0.28,0.86,1.14,0.7543859649122807,69.5548883975814,5.949159604515582,61.405720417563714,"(1590, 585)","(1473, 633)",321.0,337.0,0.32,0.8,1.12,0.7142857142857143,72.44984472033049,10.435516278555651,95.48639955511992,"(1569, 699)","(1455, 765)",383.0,398.0,0.3,0.62,0.92,0.6739130434782609,71.58033947949674,12.88691196524598,56.823278680484464,"(1587, 582)","(1470, 639)",337.0,362.0,0.5,0.74,1.24,0.5967741935483871,73.58704029922659,6.803124282269139,99.27461911284273,"(1536, 747)","(1410, 792)",366.0,382.0,0.32,0.68,1.0,0.68,67.32727901824045,9.333809511662427,76.70281937451844,"(1449, 636)","(1332, 672)",370.0,389.0,0.38,0.54,0.92,0.5869565217391305,71.23720937824558,8.413382197428097,84.13382197428095,"(1500, 777)","(1374, 807)",284.0,315.0,0.62,0.32,0.94,0.3404255319148937,61.64908758448905,9.9,68.37055287183219,"(1074, 753)","(966, 783)",307.0,330.0,0.46,0.34,0.8,0.425,45.30744971856174,13.2,74.83436710496055,"(1131, 822)","(1050, 837)"
Bear8,1,286.1786941755098,47.62186997588398,401.0,414.0,0.26,0.48,0.74,0.6486486486486487,59.078295506894925,20.409372846807425,77.05016943519108,"(1686, 528)","(1599, 591)",377.0,401.0,0.48,0.32,0.8,0.4,102.04686423403713,0.0,74.99789997059918,"(1734, 645)","(1563, 717)",429.0,,,,,,,,,,"(1605, 567)",399.0,415.0,0.32,0.48,0.8,0.6,92.53249429254568,0.0,84.1668994712208,"(1704, 681)","(1548, 744)",416.0,,,,,,,,,,"(1461, 624)",416.0,,,,,,,,,,"(1503, 762)",331.0,358.0,0.54,0.32,0.86,0.372093023255814,58.59242698506353,0.0,47.62186997588398,"(1197, 735)","(1092, 753)",347.0,381.0,0.68,0.36,1.04,0.3461538461538461,62.11104974157176,13.302725284692606,76.4361498245431,"(1263, 789)","(1155, 822)"
Bear8,1,286.1786941755098,47.62186997588398,438.0,,,,,,,,,,"(1722, 519)",417.0,,,,,,,,,,"(1734, 645)",,,,,,,,,,,,439.0,,,,,,,,,,"(1704, 681)",,,,,,,,,,,,,,,,,,,,,,,374.0,400.0,0.52,0.34,0.86,0.3953488372093024,47.62186997588398,9.621070626494744,59.2393661343536,"(1281, 714)","(1197, 735)",399.0,,,,,,,,,,"(1287, 792)"
